1586278800000.0,ETH-USDT,1h,entry long,"(57.68132626, 172.67)","(57.68132626, 189.937)",4,"{'total': 9, 'total_winning_trades': 4, 'total_losing_trades': 5, 'starting_balance': 100000.0, 'finishing_balance': 99598.34605687449, 'win_rate': 0.4444444444444444, 'ratio_avg_win_loss': 1.1340712226363985, 'longs_count': 9, 'longs_percentage': 100.0, 'shorts_percentage': 0.0, 'shorts_count': 0, 'fee': 0.0, 'net_profit': -401.6539431254945, 'net_profit_percentage': -0.4016539431254945, 'average_win': 982.2931560133812, 'average_loss': 866.1653134358037, 'expectancy': -44.62821590283261, 'expectancy_percentage': -0.044628215902832606, 'expected_net_profit_every_100_trades': -4.46282159028326, 'average_holding_period': 265166.6666666667, 'average_winning_holding_period': 493365.0, 'average_losing_holding_period': 82608.0, 'gross_profit': 3929.172624053525, 'gross_loss': -4330.826567179019, 'max_drawdown': -4.285629111138311, 'annual_return': -3.892459248687963, 'sharpe_ratio': -0.35078819559433067, 'calmar_ratio': -0.9082585421523053, 'sortino_ratio': -0.48064412660278644, 'omega_ratio': 0.9507281448623081, 'serenity_index': -0.016764680850779506, 'smart_sharpe': nan, 'smart_sortino': nan, 'total_open_trades': 0, 'open_pl': 0, 'winning_streak': 3, 'losing_streak': 5, 'largest_losing_trade': -1009.999999901699, 'largest_winning_trade': 999.9999999951016, 'current_streak': 3}"
1586566800000.0,ETH-USDT,1h,entry long,"(61.83129278, 159.47)","(61.83129278, 175.417)",5,"{'total': 10, 'total_winning_trades': 4, 'total_losing_trades': 6, 'starting_balance': 100000.0, 'finishing_balance': 98602.36259634307, 'win_rate': 0.4, 'ratio_avg_win_loss': 1.1064331007527095, 'longs_count': 10, 'longs_percentage': 100.0, 'shorts_percentage': 0.0, 'shorts_count': 0, 'fee': 0.0, 'net_profit': -1397.637403656914, 'net_profit_percentage': -1.3976374036569141, 'average_win': 982.2931560133812, 'average_loss': 887.8016712850731, 'expectancy': -139.76374036569132, 'expectancy_percentage': -0.1397637403656913, 'expected_net_profit_every_100_trades': -13.976374036569132, 'average_holding_period': 261354.0, 'average_winning_holding_period': 493365.0, 'average_losing_holding_period': 106680.0, 'gross_profit': 3929.172624053525, 'gross_loss': -5326.810027710439, 'max_drawdown': -4.285629111138311, 'annual_return': -11.776913192771065, 'sharpe_ratio': -1.2089674611943453, 'calmar_ratio': -2.7480010256050798, 'sortino_ratio': -1.6097050940093123, 'omega_ratio': 0.8434237310792061, 'serenity_index': -0.06174474312992968, 'smart_sharpe': nan, 'smart_sortino': nan, 'total_open_trades': 0, 'open_pl': 0, 'winning_streak': 3, 'losing_streak': 5, 'largest_losing_trade': -1009.999999901699, 'largest_winning_trade': 999.9999999951016, 'current_streak': -1}"
1587333600000.0,ETH-USDT,1h,entry long,"(54.41690957, 183.01)","(54.41690957, 201.311)",6,"{'total': 11, 'total_winning_trades': 5, 'total_losing_trades': 6, 'starting_balance': 100000.0, 'finishing_balance': 99588.38622230572, 'win_rate': 0.45454545454545453, 'ratio_avg_win_loss': 1.1072734843811565, 'longs_count': 11, 'longs_percentage': 100.0, 'shorts_percentage': 0.0, 'shorts_count': 0, 'fee': 0.0, 'net_profit': -411.61377769425394, 'net_profit_percentage': -0.41161377769425395, 'average_win': 983.039250003237, 'average_loss': 887.8016712850731, 'expectancy': -37.41943433584123, 'expectancy_percentage': -0.03741943433584123, 'expected_net_profit_every_100_trades': -3.7419434335841233, 'average_holding_period': 296465.45454545453, 'average_winning_holding_period': 524208.0, 'average_losing_holding_period': 106680.0, 'gross_profit': 4915.196250016185, 'gross_loss': -5326.810027710439, 'max_drawdown': -4.285629111138311, 'annual_return': -3.0257108081719664, 'sharpe_ratio': -0.2603274475811654, 'calmar_ratio': -0.706013219928008, 'sortino_ratio': -0.3737369709752534, 'omega_ratio': 0.9626003411574356, 'serenity_index': -0.019238127906646387, 'smart_sharpe': nan, 'smart_sortino': nan, 'total_open_trades': 0, 'open_pl': 0, 'winning_streak': 3, 'losing_streak': 5, 'largest_losing_trade': -1009.999999901699, 'largest_winning_trade': 999.9999999951016, 'current_streak': 1}"
1587337200000.0,ETH-USDT,1h,exit,[[ 54.41690957 183.01      ]],"(54.41690957, 200.78300000000002)",6,"{'total': 11, 'total_winning_trades': 5, 'total_losing_trades': 6, 'starting_balance': 100000.0, 'finishing_balance': 99588.38622230572, 'win_rate': 0.45454545454545453, 'ratio_avg_win_loss': 1.1072734843811565, 'longs_count': 11, 'longs_percentage': 100.0, 'shorts_percentage': 0.0, 'shorts_count': 0, 'fee': 0.0, 'net_profit': -411.61377769425394, 'net_profit_percentage': -0.41161377769425395, 'average_win': 983.039250003237, 'average_loss': 887.8016712850731, 'expectancy': -37.41943433584123, 'expectancy_percentage': -0.03741943433584123, 'expected_net_profit_every_100_trades': -3.7419434335841233, 'average_holding_period': 296465.45454545453, 'average_winning_holding_period': 524208.0, 'average_losing_holding_period': 106680.0, 'gross_profit': 4915.196250016185, 'gross_loss': -5326.810027710439, 'max_drawdown': -4.285629111138311, 'annual_return': -3.0257108081719664, 'sharpe_ratio': -0.2603274475811654, 'calmar_ratio': -0.706013219928008, 'sortino_ratio': -0.3737369709752534, 'omega_ratio': 0.9626003411574356, 'serenity_index': -0.019238127906646387, 'smart_sharpe': nan, 'smart_sortino': nan, 'total_open_trades': 0, 'open_pl': 0, 'winning_streak': 3, 'losing_streak': 5, 'largest_losing_trade': -1009.999999901699, 'largest_winning_trade': 999.9999999951016, 'current_streak': 1}"
1587344400000.0,ETH-USDT,1h,entry long,"(54.64149393, 182.21)","(54.64149393, 200.431)",1,"{'total': 12, 'total_winning_trades': 5, 'total_losing_trades': 7, 'starting_balance': 100000.0, 'finishing_balance': 99562.26610571213, 'win_rate': 0.4166666666666667, 'ratio_avg_win_loss': 1.2855155147774355, 'longs_count': 12, 'longs_percentage': 100.0, 'shorts_percentage': 0.0, 'shorts_count': 0, 'fee': 0.0, 'net_profit': -437.7338942878549, 'net_profit_percentage': -0.4377338942878549, 'average_win': 983.039250003237, 'average_loss': 764.7043063291485, 'expectancy': -36.47782452398775, 'expectancy_percentage': -0.03647782452398775, 'expected_net_profit_every_100_trades': -3.6477824523987747, 'average_holding_period': 272060.0, 'average_winning_holding_period': 524208.0, 'average_losing_holding_period': 91954.28571428571, 'gross_profit': 4915.196250016185, 'gross_loss': -5352.9301443040395, 'max_drawdown': -4.285629111138311, 'annual_return': -3.1517356252042994, 'sharpe_ratio': -0.2772179798907178, 'calmar_ratio': -0.7354195949931754, 'sortino_ratio': -0.3978901955909019, 'omega_ratio': 0.9598978679675622, 'serenity_index': -0.020524656659947554, 'smart_sharpe': nan, 'smart_sortino': nan, 'total_open_trades': 0, 'open_pl': 0, 'winning_streak': 3, 'losing_streak': 5, 'largest_losing_trade': -1009.999999901699, 'largest_winning_trade': 999.9999999951016, 'current_streak': -1}"
1588309200000.0,ETH-USDT,1h,entry long,"(47.3860274, 212.21)","(47.3860274, 233.43100000000004)",2,"{'total': 13, 'total_winning_trades': 6, 'total_losing_trades': 7, 'starting_balance': 100000.0, 'finishing_balance': 100557.88876661066, 'win_rate': 0.46153846153846156, 'ratio_avg_win_loss': 1.2882580587017443, 'longs_count': 13, 'longs_percentage': 100.0, 'shorts_percentage': 0.0, 'shorts_count': 0, 'fee': 0.0, 'net_profit': 557.8887666106768, 'net_profit_percentage': 0.5578887666106768, 'average_win': 985.1364851524528, 'average_loss': 764.7043063291485, 'expectancy': 42.914520508513704, 'expectancy_percentage': 0.04291452050851371, 'expected_net_profit_every_100_trades': 4.291452050851371, 'average_holding_period': 312341.53846153844, 'average_winning_holding_period': 569460.0, 'average_losing_holding_period': 91954.28571428571, 'gross_profit': 5910.818910914717, 'gross_loss': -5352.9301443040395, 'max_drawdown': -4.285629111138311, 'annual_return': 3.3849378648059814, 'sharpe_ratio': 0.40253886478683676, 'calmar_ratio': 0.7898345323463849, 'sortino_ratio': 0.582164900634061, 'omega_ratio': 1.0618041447903435, 'serenity_index': 0.02819920519727738, 'smart_sharpe': nan, 'smart_sortino': nan, 'total_open_trades': 0, 'open_pl': 0, 'winning_streak': 3, 'losing_streak': 5, 'largest_losing_trade': -1009.999999901699, 'largest_winning_trade': 999.9999999951016, 'current_streak': 1}"
1589148000000.0,ETH-USDT,1h,entry long,"(52.66482033, 189.03)","(52.66482033, 207.93300000000002)",3,"{'total': 14, 'total_winning_trades': 6, 'total_losing_trades': 8, 'starting_balance': 100000.0, 'finishing_balance': 99552.30987915526, 'win_rate': 0.42857142857142855, 'ratio_avg_win_loss': 1.2394559545099642, 'longs_count': 14, 'longs_percentage': 100.0, 'shorts_percentage': 0.0, 'shorts_count': 0, 'fee': 0.0, 'net_profit': -447.69012084472206, 'net_profit_percentage': -0.44769012084472204, 'average_win': 985.1364851524528, 'average_loss': 794.8136289699298, 'expectancy': -31.977865774623012, 'expectancy_percentage': -0.03197786577462301, 'expected_net_profit_every_100_trades': -3.1977865774623013, 'average_holding_period': 344374.28571428574, 'average_winning_holding_period': 569460.0, 'average_losing_holding_period': 175560.0, 'gross_profit': 5910.818910914717, 'gross_loss': -6358.509031759439, 'max_drawdown': -4.285629111138311, 'annual_return': 2.415832395590356, 'sharpe_ratio': 0.31206620839103466, 'calmar_ratio': 0.5637054287576191, 'sortino_ratio': 0.4549791129108404, 'omega_ratio': 1.0481772493037025, 'serenity_index': 0.02460260427581653, 'smart_sharpe': nan, 'smart_sortino': nan, 'total_open_trades': 0, 'open_pl': 0, 'winning_streak': 3, 'losing_streak': 5, 'largest_losing_trade': -1009.999999901699, 'largest_winning_trade': 999.9999999951016, 'current_streak': -1}"
1589832000000.0,ETH-USDT,1h,entry long,"(47.18340355, 213.1)","(47.18340355, 234.41000000000003)",4,"{'total': 15, 'total_winning_trades': 7, 'total_losing_trades': 8, 'starting_balance': 100000.0, 'finishing_balance': 100547.83297785325, 'win_rate': 0.4666666666666667, 'ratio_avg_win_loss': 1.2413228096832956, 'longs_count': 15, 'longs_percentage': 100.0, 'shorts_percentage': 0.0, 'shorts_count': 0, 'fee': 0.0, 'net_profit': 547.832977853269, 'net_profit_percentage': 0.5478329778532689, 'average_win': 986.6202870875297, 'average_loss': 794.8136289699298, 'expectancy': 36.52219852355137, 'expectancy_percentage': 0.03652219852355137, 'expected_net_profit_every_100_trades': 3.652219852355137, 'average_holding_period': 360016.0, 'average_winning_holding_period': 570822.8571428572, 'average_losing_holding_period': 175560.0, 'gross_profit': 6906.342009612708, 'gross_loss': -6358.509031759439, 'max_drawdown': -4.285629111138311, 'annual_return': 2.5895416958064077, 'sharpe_ratio': 0.33108992343727045, 'calmar_ratio': 0.6042384043631336, 'sortino_ratio': 0.4739859344245516, 'omega_ratio': 1.0499612999128414, 'serenity_index': 0.03170313190841731, 'smart_sharpe': nan, 'smart_sortino': nan, 'total_open_trades': 0, 'open_pl': 0, 'winning_streak': 3, 'losing_streak': 5, 'largest_losing_trade': -1009.999999901699, 'largest_winning_trade': 999.9999999951016, 'current_streak': 1}"
1590130800000.0,ETH-USDT,1h,entry long,"(49.73139221, 200.16)","(49.73139221, 220.17600000000002)",5,"{'total': 16, 'total_winning_trades': 7, 'total_losing_trades': 9, 'starting_balance': 100000.0, 'finishing_balance': 99542.35464820275, 'win_rate': 0.4375, 'ratio_avg_win_loss': 1.2058117631108545, 'longs_count': 16, 'longs_percentage': 100.0, 'shorts_percentage': 0.0, 'shorts_count': 0, 'fee': 0.0, 'net_profit': -457.6453517972325, 'net_profit_percentage': -0.4576453517972325, 'average_win': 986.6202870875297, 'average_loss': 818.2208179344377, 'expectancy': -28.60283448732696, 'expectancy_percentage': -0.02860283448732696, 'expected_net_profit_every_100_trades': -2.8602834487326962, 'average_holding_period': 353478.75, 'average_winning_holding_period': 570822.8571428572, 'average_losing_holding_period': 184433.33333333334, 'gross_profit': 6906.342009612708, 'gross_loss': -7363.98736140994, 'max_drawdown': -4.285629111138311, 'annual_return': -2.0210528022579277, 'sharpe_ratio': -0.18726684188971035, 'calmar_ratio': -0.471588359572514, 'sortino_ratio': -0.26226006112314926, 'omega_ratio': 0.9727315286318203, 'serenity_index': -0.02741086082934506, 'smart_sharpe': nan, 'smart_sortino': nan, 'total_open_trades': 0, 'open_pl': 0, 'winning_streak': 3, 'losing_streak': 5, 'largest_losing_trade': -1009.999999901699, 'largest_winning_trade': 999.9999999951016, 'current_streak': -1}"
1590753600000.0,ETH-USDT,1h,entry long,"(45.89927784, 219.04)","(45.89927784, 240.94400000000002)",6,"{'total': 17, 'total_winning_trades': 8, 'total_losing_trades': 9, 'starting_balance': 100000.0, 'finishing_balance': 100537.7781946781, 'win_rate': 0.47058823529411764, 'ratio_avg_win_loss': 1.2071566414118693, 'longs_count': 17, 'longs_percentage': 100.0, 'shorts_percentage': 0.0, 'shorts_count': 0, 'fee': 0.0, 'net_profit': 537.7781946781271, 'net_profit_percentage': 0.537778194678127, 'average_win': 987.7206945110083, 'average_loss': 818.2208179344377, 'expectancy': 31.634011451654487, 'expectancy_percentage': 0.03163401145165449, 'expected_net_profit_every_100_trades': 3.163401145165449, 'average_holding_period': 366677.64705882355, 'average_winning_holding_period': 571702.5, 'average_losing_holding_period': 184433.33333333334, 'gross_profit': 7901.765556088067, 'gross_loss': -7363.98736140994, 'max_drawdown': -4.285629111138311, 'annual_return': 2.22395491611429, 'sharpe_ratio': 0.2954495296809708, 'calmar_ratio': 0.5189331270721144, 'sortino_ratio': 0.41994924740836664, 'omega_ratio': 1.0440135958571048, 'serenity_index': 0.033409865956547345, 'smart_sharpe': nan, 'smart_sortino': nan, 'total_open_trades': 0, 'open_pl': 0, 'winning_streak': 3, 'losing_streak': 5, 'largest_losing_trade': -1009.999999901699, 'largest_winning_trade': 999.9999999951016, 'current_streak': 1}"
