Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,Long,2020-03-02 13:00,221.40,45.163,-5198.71,-51.99,-5198.71,-5.2,1378.83,13.79,6115.07,61.16
1,Exit Long,Take Profit,2020-03-13 09:00,106.29,45.163,-5198.71,-51.99,-5198.71,-5.2,1378.83,13.79,6115.07,61.16
2,Entry Long,Long,2020-03-09 23:00,194.63,22,-1943.48,-45.39,-7142.19,-2.05,254.54,5.94,2389.86,55.81
2,Exit Long,Take Profit,2020-03-13 09:00,106.29,22,-1943.48,-45.39,-7142.19,-2.05,254.54,5.94,2389.86,55.81
3,Entry Long,Long,2020-03-12 01:00,184.31,33,-2574.66,-42.33,-9716.85,-2.77,372.57,6.13,3244.23,53.34
3,Exit Long,Take Profit,2020-03-13 09:00,106.29,33,-2574.66,-42.33,-9716.85,-2.77,372.57,6.13,3244.23,53.34
4,Entry Long,Long,2020-03-12 13:00,181.79,50,-3775.00,-41.53,-13491.85,-4.18,1.50,0.02,4789.50,52.69
4,Exit Long,Take Profit,2020-03-13 09:00,106.29,50,-3775.00,-41.53,-13491.85,-4.18,1.50,0.02,4789.50,52.69
5,Entry Long,Long,2020-03-12 15:00,171.65,75,-4902.00,-38.08,-18393.85,-5.67,53.25,0.41,6423.75,49.9
5,Exit Long,Take Profit,2020-03-13 09:00,106.29,75,-4902.00,-38.08,-18393.85,-5.67,53.25,0.41,6423.75,49.9
6,Entry Long,Long,2020-03-14 07:00,134.06,60.8728,61.48,0.75,-18332.37,0.08,1125.54,13.79,2006.37,24.59
6,Exit Long,Take Profit,2020-03-23 19:00,135.07,60.8728,61.48,0.75,-18332.37,0.08,1125.54,13.79,2006.37,24.59
7,Entry Long,Long,2020-03-16 13:00,116.66,30,552.30,15.78,-17780.07,0.68,1076.70,30.76,466.80,13.34
7,Exit Long,Take Profit,2020-03-23 19:00,135.07,30,552.30,15.78,-17780.07,0.68,1076.70,30.76,466.80,13.34
8,Entry Long,Long,2020-03-16 15:00,107.02,45,1262.25,26.21,-16517.82,1.54,2048.85,42.54,266.40,5.53
8,Exit Long,Take Profit,2020-03-23 19:00,135.07,45,1262.25,26.21,-16517.82,1.54,2048.85,42.54,266.40,5.53
9,Entry Long,Long,2020-03-16 17:00,108.14,67,1804.31,24.9,-14713.51,2.16,2975.47,41.07,471.68,6.51
9,Exit Long,Take Profit,2020-03-23 19:00,135.07,67,1804.31,24.9,-14713.51,2.16,2975.47,41.07,471.68,6.51
10,Entry Long,Long,2020-03-16 19:00,104.04,101,3134.03,29.83,-11579.48,3.67,4899.51,46.63,172.71,1.64
10,Exit Long,Take Profit,2020-03-23 19:00,135.07,101,3134.03,29.83,-11579.48,3.67,4899.51,46.63,172.71,1.64
11,Entry Long,Long,2020-03-23 21:00,131.48,67.2399,175602.38,1986.29,164022.89,198.6,285180.56,3225.77,515.73,5.83
11,Exit Long,Take Profit,2021-05-19 21:00,2743.06,67.2399,175602.38,1986.29,164022.89,198.6,285180.56,3225.77,515.73,5.83
12,Entry Long,Long,2021-05-20 21:00,2904.89,,,,,,,,,
12,Exit Long,Open,,,,,,,,,,,
13,Entry Long,Long,2021-05-21 23:00,2420.39,,,,,,,,,
13,Exit Long,Open,,,,,,,,,,,
14,Entry Long,Long,2021-05-22 03:00,2349.95,,,,,,,,,
14,Exit Long,Open,,,,,,,,,,,
15,Entry Long,Long,2021-05-22 11:00,2329.54,,,,,,,,,
15,Exit Long,Open,,,,,,,,,,,
16,Entry Long,Long,2021-05-22 13:00,2232.96,,,,,,,,,
16,Exit Long,Open,,,,,,,,,,,
