,All NONE,All %,Long NONE,Long %,Short NONE,Short %
Net Profit,164022.90,164.02,164022.90,164.02,0,0
Gross Profit,182416.75,182.42,182416.75,182.42,0,0
Gross Loss,18393.85,18.39,18393.85,18.39,0,0
Max Drawdown,18393.85,18.39,,,,
Buy & Hold Return,1318030.47,1318.03,,,,
Sharpe Ratio,0.203,,,,,
Sortino Ratio,3.369,,,,,
Profit Factor,9.917,,9.917,,N/A,
Max Contracts Held,304,,304,,0,
Open PL,29728.67,11.26,,,,
Commission Paid,0,,0,,0,
Total Closed Trades,11,,11,,0,
Total Open Trades,5,,5,,0,
Number Winning Trades,6,,6,,0,
Number Losing Trades,5,,5,,0,
Percent Profitable,54.55,,54.55,,N/A,
Avg Trade,14911.17,14.91,14911.17,14.91,N/A,N/A
Avg Winning Trade,30402.79,30.4,30402.79,30.4,N/A,N/A
Avg Losing Trade,3678.77,3.68,3678.77,3.68,N/A,N/A
Ratio Avg Win / Avg Loss,8.264,,8.264,,N/A,
Largest Winning Trade,175602.38,1986.29,175602.38,1986.29,N/A,N/A
Largest Losing Trade,5198.71,51.99,5198.71,51.99,N/A,N/A
Avg # Bars in Trades,521,,521,,0,
Avg # Bars in Winning Trades,920,,920,,0,
Avg # Bars in Losing Trades,42,,42,,0,
Margin Calls,0,,0,,0,
