,All NONE,All %,Long NONE,Long %,Short NONE,Short %
Net Profit,93895.36,93.9,93895.36,93.9,0,0
Gross Profit,111323.11,111.32,111323.11,111.32,0,0
Gross Loss,17427.75,17.43,17427.75,17.43,0,0
Max Drawdown,15962.48,15.96,,,,
Buy & Hold Return,1297205.08,1297.21,,,,
Sharpe Ratio,0.293,,,,,
Sortino Ratio,1.426,,,,,
Profit Factor,6.388,,6.388,,N/A,
Max Contracts Held,223,,223,,0,
Open PL,34220.01,17.65,,,,
Commission Paid,0,,0,,0,
Total Closed Trades,19,,19,,0,
Total Open Trades,5,,5,,0,
Number Winning Trades,13,,13,,0,
Number Losing Trades,6,,6,,0,
Percent Profitable,68.42,,68.42,,N/A,
Avg Trade,4941.86,4.94,4941.86,4.94,N/A,N/A
Avg Winning Trade,8563.32,8.56,8563.32,8.56,N/A,N/A
Avg Losing Trade,2904.62,2.9,2904.62,2.9,N/A,N/A
Ratio Avg Win / Avg Loss,2.948,,2.948,,N/A,
Largest Winning Trade,38606.80,435.68,38606.80,435.68,N/A,N/A
Largest Losing Trade,4721.40,47.21,4721.40,47.21,N/A,N/A
Avg # Bars in Trades,356,,356,,0,
Avg # Bars in Winning Trades,505,,505,,0,
Avg # Bars in Losing Trades,33,,33,,0,
Margin Calls,0,,0,,0,
