,All NONE,All %,Long NONE,Long %,Short NONE,Short %
Net Profit,-9747.39,-9.75,-9747.39,-9.75,0,0
Gross Profit,377.77,0.38,377.77,0.38,0,0
Gross Loss,10125.17,10.13,10125.17,10.13,0,0
Max Drawdown,10125.17,10.13,,,,
Buy & Hold Return,1298644.72,1298.64,,,,
Sharpe Ratio,0.206,,,,,
Sortino Ratio,22.966,,,,,
Profit Factor,0.037,,0.037,,N/A,
Max Contracts Held,338,,338,,0,
Open PL,1022244.27,1132.65,,,,
Commission Paid,0,,0,,0,
Total Closed Trades,6,,6,,0,
Total Open Trades,5,,5,,0,
Number Winning Trades,1,,1,,0,
Number Losing Trades,5,,5,,0,
Percent Profitable,16.67,,16.67,,N/A,
Avg Trade,-1624.57,-1.62,-1624.57,-1.62,N/A,N/A
Avg Winning Trade,377.77,0.38,377.77,0.38,N/A,N/A
Avg Losing Trade,2025.03,2.03,2025.03,2.03,N/A,N/A
Ratio Avg Win / Avg Loss,0.187,,0.187,,N/A,
Largest Winning Trade,377.77,4.21,377.77,4.21,N/A,N/A
Largest Losing Trade,3482.39,34.82,3482.39,34.82,N/A,N/A
Avg # Bars in Trades,83,,83,,0,
Avg # Bars in Winning Trades,62,,62,,0,
Avg # Bars in Losing Trades,87,,87,,0,
Margin Calls,0,,0,,0,
