Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,Long,2020-03-01 19:00,224.32,44.5831,-3482.39,-34.82,-3482.39,-3.48,1230.94,12.31,4517.16,45.17
1,Exit Long,Take Profit,2020-03-12 18:00,146.21,44.5831,-3482.39,-34.82,-3482.39,-3.48,1230.94,12.31,4517.16,45.17
2,Entry Long,Long,2020-03-09 07:00,199.43,22,-1170.84,-26.69,-4653.23,-1.21,202.18,4.61,1681.46,38.32
2,Exit Long,Take Profit,2020-03-12 18:00,146.21,22,-1170.84,-26.69,-4653.23,-1.21,202.18,4.61,1681.46,38.32
3,Entry Long,Long,2020-03-10 01:00,193.63,33,-1564.86,-24.49,-6218.09,-1.64,414.81,6.49,2330.79,36.48
3,Exit Long,Take Profit,2020-03-12 18:00,146.21,33,-1564.86,-24.49,-6218.09,-1.64,414.81,6.49,2330.79,36.48
4,Entry Long,Long,2020-03-12 01:00,184.31,49,-1866.90,-20.67,-8084.99,-1.99,553.21,6.13,3004.19,33.26
4,Exit Long,Take Profit,2020-03-12 18:00,146.21,49,-1866.90,-20.67,-8084.99,-1.99,553.21,6.13,3004.19,33.26
5,Entry Long,Long,2020-03-12 14:00,173.78,74,-2040.18,-15.86,-10125.17,-2.22,32.56,0.25,3757.72,29.22
5,Exit Long,Take Profit,2020-03-12 18:00,146.21,74,-2040.18,-15.86,-10125.17,-2.22,32.56,0.25,3757.72,29.22
6,Entry Long,Long,2020-03-13 15:00,127.18,70.6119,377.77,4.21,-9747.39,0.42,882.65,9.83,871.35,9.7
6,Exit Long,Take Profit,2020-03-16 04:00,132.53,70.6119,377.77,4.21,-9747.39,0.42,882.65,9.83,871.35,9.7
7,Entry Long,Long,2020-03-16 05:00,132.91,,,,,,,,,
7,Exit Long,Open,,,,,,,,,,,
8,Entry Long,Long,2020-03-16 13:00,116.66,,,,,,,,,
8,Exit Long,Open,,,,,,,,,,,
9,Entry Long,Long,2020-03-16 14:00,112.73,,,,,,,,,
9,Exit Long,Open,,,,,,,,,,,
10,Entry Long,Long,2020-03-16 15:00,107.02,,,,,,,,,
10,Exit Long,Open,,,,,,,,,,,
11,Entry Long,Long,2020-03-16 18:00,101.42,,,,,,,,,
11,Exit Long,Open,,,,,,,,,,,
