Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,Long,2020-03-02 19:00,224.70,44.5037,-4721.40,-47.21,-4721.40,-4.72,1211.84,12.12,5496.21,54.96
1,Exit Long,Take Profit,2020-03-13 07:00,118.61,44.5037,-4721.40,-47.21,-4721.40,-4.72,1211.84,12.12,5496.21,54.96
2,Entry Long,Long,2020-03-09 07:00,199.43,22,-1778.04,-40.53,-6499.44,-1.87,202.18,4.61,2161.06,49.26
2,Exit Long,Take Profit,2020-03-13 07:00,118.61,22,-1778.04,-40.53,-6499.44,-1.87,202.18,4.61,2161.06,49.26
3,Entry Long,Long,2020-03-10 01:00,193.63,33,-2475.66,-38.74,-8975.10,-2.65,414.81,6.49,3050.19,47.74
3,Exit Long,Take Profit,2020-03-13 07:00,118.61,33,-2475.66,-38.74,-8975.10,-2.65,414.81,6.49,3050.19,47.74
4,Entry Long,Long,2020-03-12 01:00,184.31,49,-3219.30,-35.65,-12194.40,-3.54,553.21,6.13,4072.39,45.09
4,Exit Long,Take Profit,2020-03-13 07:00,118.61,49,-3219.30,-35.65,-12194.40,-3.54,553.21,6.13,4072.39,45.09
5,Entry Long,Long,2020-03-12 16:00,169.53,74,-3768.08,-30.04,-15962.48,-4.29,51.80,0.41,5056.42,40.31
5,Exit Long,Take Profit,2020-03-13 07:00,118.61,74,-3768.08,-30.04,-15962.48,-4.29,51.80,0.41,5056.42,40.31
6,Entry Long,Long,2020-03-15 19:00,126.10,66.6435,428.52,5.1,-15533.96,0.51,428.52,5.1,395.86,4.71
6,Exit Long,Take Profit,2020-03-16 04:00,132.53,66.6435,428.52,5.1,-15533.96,0.51,428.52,5.1,395.86,4.71
7,Entry Long,Long,2020-03-18 01:00,117.79,71.709,1493.70,17.68,-14040.26,1.77,1493.70,17.68,568.65,6.73
7,Exit Long,Take Profit,2020-03-19 22:00,138.62,71.709,1493.70,17.68,-14040.26,1.77,1493.70,17.68,568.65,6.73
8,Entry Long,Long,2020-03-21 07:00,133.49,64.3989,101.75,1.18,-13938.51,0.12,257.60,3,900.94,10.48
8,Exit Long,Take Profit,2020-03-23 19:00,135.07,64.3989,101.75,1.18,-13938.51,0.12,257.60,3,900.94,10.48
9,Entry Long,Long,2020-03-23 22:00,129.87,66.2623,2562.36,29.78,-11376.15,2.98,3071.26,35.69,401.55,4.67
9,Exit Long,Take Profit,2020-04-16 13:00,168.54,66.2623,2562.36,29.78,-11376.15,2.98,3071.26,35.69,401.55,4.67
10,Entry Long,Long,2020-04-16 16:00,170.39,52.0062,38606.80,435.68,27230.65,43.56,38606.80,435.68,201.78,2.28
10,Exit Long,Take Profit,2021-01-03 19:00,912.74,52.0062,38606.80,435.68,27230.65,43.56,38606.80,435.68,201.78,2.28
11,Entry Long,Long,2021-01-08 16:00,1199.99,10.6026,17749.07,139.5,44979.73,13.95,33639.19,264.4,3021.64,23.75
11,Exit Long,Take Profit,2021-05-19 22:00,2874.02,10.6026,17749.07,139.5,44979.73,13.95,33639.19,264.4,3021.64,23.75
12,Entry Long,Long,2021-01-11 19:00,1067.65,5,9031.85,169.19,54011.57,6.23,16525.35,309.56,763.25,14.3
12,Exit Long,Take Profit,2021-05-19 22:00,2874.02,5,9031.85,169.19,54011.57,6.23,16525.35,309.56,763.25,14.3
13,Entry Long,Long,2021-01-11 22:00,1038.53,7,12848.43,176.74,66860.01,8.34,23339.33,321.05,864.71,11.89
13,Exit Long,Take Profit,2021-05-19 22:00,2874.02,7,12848.43,176.74,66860.01,8.34,23339.33,321.05,864.71,11.89
14,Entry Long,Long,2021-01-12 01:00,998.15,11,20634.57,187.93,87494.58,12.37,37120.27,338.08,584.65,5.32
14,Exit Long,Take Profit,2021-05-19 22:00,2874.02,11,20634.57,187.93,87494.58,12.37,37120.27,338.08,584.65,5.32
15,Entry Long,Long,2021-05-21 10:00,2855.13,6.5669,-1465.27,-7.82,86029.31,-0.78,0,0,7396.89,39.45
15,Exit Long,Take Profit,2021-05-25 19:00,2632.00,6.5669,-1465.27,-7.82,86029.31,-0.78,0,0,7396.89,39.45
16,Entry Long,Long,2021-05-21 22:00,2520.48,3,334.56,4.42,86363.86,0.18,688.56,9.11,2375.22,31.41
16,Exit Long,Take Profit,2021-05-25 19:00,2632.00,3,334.56,4.42,86363.86,0.18,688.56,9.11,2375.22,31.41
17,Entry Long,Long,2021-05-22 04:00,2247.91,4,1536.36,17.09,87900.23,0.82,2008.36,22.34,2076.68,23.1
17,Exit Long,Take Profit,2021-05-25 19:00,2632.00,4,1536.36,17.09,87900.23,0.82,2008.36,22.34,2076.68,23.1
18,Entry Long,Long,2021-05-22 13:00,2232.96,6,2394.24,17.87,90294.46,1.27,3102.24,23.15,3025.32,22.58
18,Exit Long,Take Profit,2021-05-25 19:00,2632.00,6,2394.24,17.87,90294.46,1.27,3102.24,23.15,3025.32,22.58
19,Entry Long,Long,2021-05-23 13:00,2231.90,9,3600.90,17.93,93895.36,1.89,4662.90,23.21,4528.44,22.54
19,Exit Long,Take Profit,2021-05-25 19:00,2632.00,9,3600.90,17.93,93895.36,1.89,4662.90,23.21,4528.44,22.54
20,Entry Long,Long,2021-05-30 19:00,2461.92,,,,,,,,,
20,Exit Long,Open,,,,,,,,,,,
21,Entry Long,Long,2021-06-19 01:00,2202.85,,,,,,,,,
21,Exit Long,Open,,,,,,,,,,,
22,Entry Long,Long,2021-06-20 19:00,2074.28,,,,,,,,,
22,Exit Long,Open,,,,,,,,,,,
23,Entry Long,Long,2021-06-21 16:00,2014.35,,,,,,,,,
23,Exit Long,Open,,,,,,,,,,,
24,Entry Long,Long,2021-06-21 19:00,1969.50,,,,,,,,,
24,Exit Long,Open,,,,,,,,,,,
