,All NONE,All %,Long NONE,Long %,Short NONE,Short %
Net Profit,7685.41,7.69,17252.06,17.25,-9566.65,-9.57
Gross Profit,65749.45,65.75,43542.11,43.54,22207.35,22.21
Gross Loss,58064.04,58.06,26290.04,26.29,31774.00,31.77
Max Drawdown,11604.27,10.22,,,,
Buy & Hold Return,1300869.22,1300.87,,,,
Sharpe Ratio,0.063,,,,,
Sortino Ratio,0.121,,,,,
Profit Factor,1.132,,1.656,,0.699,
Max Contracts Held,132,,117,,132,
Open PL,0,0,,,,
Commission Paid,0,,0,,0,
Total Closed Trades,544,,277,,267,
Total Open Trades,0,,0,,0,
Number Winning Trades,177,,113,,64,
Number Losing Trades,367,,164,,203,
Percent Profitable,32.54,,40.79,,23.97,
Avg Trade,14.13,0.01,62.28,0.06,-35.83,-0.04
Avg Winning Trade,371.47,0.37,385.33,0.39,346.99,0.35
Avg Losing Trade,158.21,0.16,160.31,0.16,156.52,0.16
Ratio Avg Win / Avg Loss,2.348,,2.404,,2.217,
Largest Winning Trade,1726.91,55.12,1726.91,55.12,1641.54,29.8
Largest Losing Trade,621.99,20.94,474.24,15.7,621.99,20.94
Avg # Bars in Trades,118,,134,,101,
Avg # Bars in Winning Trades,198,,212,,171,
Avg # Bars in Losing Trades,79,,79,,79,
Margin Calls,0,,0,,0,
