Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,Entry Short,2020-03-02 19:00,224.70,13.3511,-293.59,-9.79,-293.59,-0.29,68.49,2.28,293.59,9.79
1,Exit Short,Exit Short,2020-03-07 19:00,246.69,13.3511,-293.59,-9.79,-293.59,-0.29,68.49,2.28,293.59,9.79
2,Entry Short,Entry Short,2020-03-02 23:00,228.34,13.1307,-240.95,-8.04,-534.54,-0.24,115.16,3.84,240.95,8.04
2,Exit Short,Exit Short,2020-03-07 19:00,246.69,13.1307,-240.95,-8.04,-534.54,-0.24,115.16,3.84,240.95,8.04
3,Entry Short,Entry Short,2020-03-03 03:00,232.08,12.9074,-188.58,-6.3,-723.12,-0.19,161.47,5.39,188.58,6.3
3,Exit Short,Exit Short,2020-03-07 19:00,246.69,12.9074,-188.58,-6.3,-723.12,-0.19,161.47,5.39,188.58,6.3
4,Entry Short,Entry Short,2020-03-03 07:00,232.10,12.9141,-188.42,-6.29,-911.53,-0.19,161.81,5.4,188.42,6.29
4,Exit Short,Exit Short,2020-03-07 19:00,246.69,12.9141,-188.42,-6.29,-911.53,-0.19,161.81,5.4,188.42,6.29
5,Entry Short,Entry Short,2020-03-05 15:00,227.82,13.1775,-248.66,-8.28,-1160.19,-0.25,18.32,0.61,248.66,8.28
5,Exit Short,Exit Short,2020-03-07 19:00,246.69,13.1775,-248.66,-8.28,-1160.19,-0.25,18.32,0.61,248.66,8.28
6,Entry Short,Entry Short,2020-03-19 19:00,123.88,23.934,-404.72,-13.65,-1564.92,-0.41,7.42,0.25,404.72,13.65
6,Exit Short,Exit Short,2020-03-20 03:00,140.79,23.934,-404.72,-13.65,-1564.92,-0.41,7.42,0.25,404.72,13.65
7,Entry Short,Entry Short,2020-03-19 23:00,128.00,23.1443,-296.02,-9.99,-1860.93,-0.3,41.43,1.4,296.02,9.99
7,Exit Short,Exit Short,2020-03-20 03:00,140.79,23.1443,-296.02,-9.99,-1860.93,-0.3,41.43,1.4,296.02,9.99
8,Entry Short,Entry Short,2020-03-20 03:00,136.12,21.6743,-101.22,-3.43,-1962.15,-0.1,22.76,0.77,101.22,3.43
8,Exit Short,Exit Short,2020-03-20 03:00,140.79,21.6743,-101.22,-3.43,-1962.15,-0.1,22.76,0.77,101.22,3.43
9,Entry Short,Entry Short,2020-03-20 07:00,136.30,21.5783,26.54,0.9,-1935.61,0.03,422.07,14.35,350.65,11.92
9,Exit Short,Exit Short,2020-03-23 19:00,135.07,21.5783,26.54,0.9,-1935.61,0.03,422.07,14.35,350.65,11.92
10,Entry Short,Entry Short,2020-03-20 19:00,145.71,20.1487,214.38,7.3,-1721.23,0.22,583.71,19.88,12.69,0.43
