Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,Entry Short,2020-03-02 19:00,224.70,13.3511,-293.59,-9.79,-293.59,-0.29,68.49,2.28,293.59,9.79
1,Exit Short,Exit Short,2020-03-07 22:00,246.69,13.3511,-293.59,-9.79,-293.59,-0.29,68.49,2.28,293.59,9.79
2,Entry Short,Entry Short,2020-03-02 22:00,227.76,13.1681,-249.27,-8.31,-542.86,-0.25,107.85,3.6,249.27,8.31
2,Exit Short,Exit Short,2020-03-07 22:00,246.69,13.1681,-249.27,-8.31,-542.86,-0.25,107.85,3.6,249.27,8.31
3,Entry Short,Entry Short,2020-03-03 01:00,231.50,12.9408,-196.57,-6.56,-739.43,-0.2,154.38,5.15,196.57,6.56
3,Exit Short,Exit Short,2020-03-07 22:00,246.69,12.9408,-196.57,-6.56,-739.43,-0.2,154.38,5.15,196.57,6.56
4,Entry Short,Entry Short,2020-03-03 04:00,231.86,12.9158,-191.54,-6.4,-930.97,-0.19,158.74,5.3,191.54,6.4
4,Exit Short,Exit Short,2020-03-07 22:00,246.69,12.9158,-191.54,-6.4,-930.97,-0.19,158.74,5.3,191.54,6.4
5,Entry Short,Entry Short,2020-03-03 07:00,232.10,12.912,-188.39,-6.29,-1119.36,-0.19,161.79,5.4,188.39,6.29
5,Exit Short,Exit Short,2020-03-07 22:00,246.69,12.912,-188.39,-6.29,-1119.36,-0.19,161.79,5.4,188.39,6.29
6,Entry Short,Entry Short,2020-03-14 07:00,134.06,22.1275,33.86,1.14,-1085.51,0.03,311.11,10.49,13.72,0.46
6,Exit Short,Exit Short,2020-03-16 04:00,132.53,22.1275,33.86,1.14,-1085.51,0.03,311.11,10.49,13.72,0.46
7,Entry Short,Additional Short,2020-03-16 04:00,120.50,12,-144.36,-9.98,-1229.87,-0.15,1.32,0.09,144.36,9.98
7,Exit Short,Exit Short,2020-03-16 04:00,132.53,12,-144.36,-9.98,-1229.87,-0.15,1.32,0.09,144.36,9.98
8,Entry Short,Entry Short,2020-03-19 07:00,118.11,25.0876,-319.87,-10.8,-1549.73,-0.32,66.48,2.24,319.87,10.8
8,Exit Short,Exit Short,2020-03-19 22:00,130.86,25.0876,-319.87,-10.8,-1549.73,-0.32,66.48,2.24,319.87,10.8
9,Entry Short,Entry Short,2020-03-19 19:00,123.88,23.8821,-166.70,-5.63,-1716.43,-0.17,7.40,0.25,166.70,5.63
9,Exit Short,Exit Short,2020-03-19 22:00,130.86,23.8821,-166.70,-5.63,-1716.43,-0.17,7.40,0.25,166.70,5.63
10,Entry Short,Entry Short,2020-03-19 22:00,126.00,23.4555,-113.99,-3.86,-1830.42,-0.12,5.86,0.2,113.99,3.86
10,Exit Short,Exit Short,2020-03-19 22:00,130.86,23.4555,-113.99,-3.86,-1830.42,-0.12,5.86,0.2,113.99,3.86
11,Entry Short,Entry Short,2020-03-20 01:00,138.03,21.3334,63.15,2.14,-1767.28,0.06,454.19,15.42,309.76,10.52
11,Exit Short,Exit Short,2020-03-23 19:00,135.07,21.3334,63.15,2.14,-1767.28,0.06,454.19,15.42,309.76,10.52
12,Entry Short,Entry Short,2020-03-20 16:00,146.48,20.0702,229.00,7.79,-1538.28,0.23,596.89,20.3,121.83,4.14
12,Exit Short,Exit Short,2020-03-23 19:00,135.07,20.0702,229.00,7.79,-1538.28,0.23,596.89,20.3,121.83,4.14
13,Entry Short,Additional Short,2020-03-21 04:00,125.36,21,-203.91,-7.75,-1742.19,-0.21,123.06,4.67,256.20,9.73
13,Exit Short,Exit Short,2020-03-23 19:00,135.07,21,-203.91,-7.75,-1742.19,-0.21,123.06,4.67,256.20,9.73
14,Entry Short,Additional Short,2020-03-23 07:00,122.31,32,-408.32,-10.43,-2150.51,-0.42,89.92,2.3,408.32,10.43
14,Exit Short,Exit Short,2020-03-23 19:00,135.07,32,-408.32,-10.43,-2150.51,-0.42,89.92,2.3,408.32,10.43
15,Entry Short,Entry Short,2020-03-23 22:00,129.87,22.6015,-340.15,-11.59,-2490.66,-0.35,136.97,4.67,340.15,11.59
15,Exit Short,Exit Short,2020-04-02 22:00,144.92,22.6015,-340.15,-11.59,-2490.66,-0.35,136.97,4.67,340.15,11.59
16,Entry Short,Entry Short,2020-03-24 01:00,130.04,22.5728,-335.88,-11.44,-2826.54,-0.34,140.63,4.79,335.88,11.44
16,Exit Short,Exit Short,2020-04-02 22:00,144.92,22.5728,-335.88,-11.44,-2826.54,-0.34,140.63,4.79,335.88,11.44
17,Entry Short,Entry Short,2020-03-24 04:00,131.87,22.2407,-290.24,-9.9,-3116.78,-0.3,179.26,6.11,290.24,9.9
17,Exit Short,Exit Short,2020-04-02 22:00,144.92,22.2407,-290.24,-9.9,-3116.78,-0.3,179.26,6.11,290.24,9.9
18,Entry Short,Entry Short,2020-03-24 07:00,135.89,21.5177,-194.30,-6.65,-3311.09,-0.2,259.93,8.89,194.30,6.65
18,Exit Short,Exit Short,2020-04-02 22:00,144.92,21.5177,-194.30,-6.65,-3311.09,-0.2,259.93,8.89,194.30,6.65
19,Entry Short,Entry Short,2020-03-24 10:00,136.20,21.4643,-187.17,-6.4,-3498.26,-0.19,265.94,9.1,187.17,6.4
19,Exit Short,Exit Short,2020-04-02 22:00,144.92,21.4643,-187.17,-6.4,-3498.26,-0.19,265.94,9.1,187.17,6.4
20,Entry Long,Entry Long,2020-04-10 13:00,160.84,17.9984,507.91,17.55,-2990.34,0.53,1196.17,41.32,225.16,7.78
20,Exit Long,Exit Long,2020-05-10 07:00,189.06,17.9984,507.91,17.55,-2990.34,0.53,1196.17,41.32,225.16,7.78
21,Entry Long,Entry Long,2020-04-10 16:00,157.92,18.3224,570.56,19.72,-2419.78,0.59,1271.21,43.93,175.71,6.07
21,Exit Long,Exit Long,2020-05-10 07:00,189.06,18.3224,570.56,19.72,-2419.78,0.59,1271.21,43.93,175.71,6.07
22,Entry Long,Entry Long,2020-04-10 19:00,157.83,18.3311,572.48,19.79,-1847.30,0.59,1273.46,44.02,174.15,6.02
22,Exit Long,Exit Long,2020-05-10 07:00,189.06,18.3311,572.48,19.79,-1847.30,0.59,1273.46,44.02,174.15,6.02
23,Entry Long,Entry Long,2020-04-10 22:00,157.12,18.4023,587.77,20.33,-1259.53,0.6,1291.47,44.67,161.76,5.59
23,Exit Long,Exit Long,2020-05-10 07:00,189.06,18.4023,587.77,20.33,-1259.53,0.6,1291.47,44.67,161.76,5.59
24,Entry Long,Entry Long,2020-04-11 22:00,156.62,18.4615,598.89,20.71,-660.64,0.61,1304.86,45.13,153.05,5.29
24,Exit Long,Exit Long,2020-05-10 07:00,189.06,18.4615,598.89,20.71,-660.64,0.61,1304.86,45.13,153.05,5.29
25,Entry Short,Entry Short,2020-05-12 19:00,190.83,15.6185,-346.26,-11.62,-1006.90,-0.35,63.41,2.13,346.26,11.62
25,Exit Short,Exit Short,2020-05-18 07:00,213.00,15.6185,-346.26,-11.62,-1006.90,-0.35,63.41,2.13,346.26,11.62
26,Entry Short,Entry Short,2020-05-12 22:00,191.18,15.5874,-340.12,-11.41,-1347.02,-0.34,68.74,2.31,340.12,11.41
26,Exit Short,Exit Short,2020-05-18 07:00,213.00,15.5874,-340.12,-11.41,-1347.02,-0.34,68.74,2.31,340.12,11.41
27,Entry Short,Entry Short,2020-05-13 22:00,196.70,15.1229,-246.50,-8.29,-1593.52,-0.25,76.22,2.56,246.50,8.29
27,Exit Short,Exit Short,2020-05-18 07:00,213.00,15.1229,-246.50,-8.29,-1593.52,-0.25,76.22,2.56,246.50,8.29
28,Entry Long,Entry Long,2020-05-21 16:00,206.50,14.2928,-68.61,-2.32,-1662.13,-0.07,20.44,0.69,211.39,7.16
28,Exit Long,Entry Short,2020-05-22 16:00,201.70,14.2928,-68.61,-2.32,-1662.13,-0.07,20.44,0.69,211.39,7.16
29,Entry Short,Entry Short,2020-05-22 16:00,201.70,14.6256,-328.49,-11.14,-1990.62,-0.33,70.20,2.38,328.49,11.14
29,Exit Short,Exit Short,2020-05-29 07:00,224.16,14.6256,-328.49,-11.14,-1990.62,-0.33,70.20,2.38,328.49,11.14
30,Entry Short,Entry Short,2020-05-22 19:00,203.22,14.5129,-303.90,-10.3,-2294.52,-0.31,91.72,3.11,303.90,10.3
30,Exit Short,Exit Short,2020-05-29 07:00,224.16,14.5129,-303.90,-10.3,-2294.52,-0.31,91.72,3.11,303.90,10.3
31,Entry Long,Entry Long,2020-06-06 07:00,240.04,12.2116,-233.00,-7.95,-2527.52,-0.24,125.05,4.27,233.00,7.95
31,Exit Long,Exit Long,2020-06-15 10:00,220.96,12.2116,-233.00,-7.95,-2527.52,-0.24,125.05,4.27,233.00,7.95
32,Entry Long,Entry Long,2020-06-06 10:00,239.90,12.2175,-231.40,-7.89,-2758.92,-0.24,126.82,4.33,231.40,7.89
32,Exit Long,Exit Long,2020-06-15 10:00,220.96,12.2175,-231.40,-7.89,-2758.92,-0.24,126.82,4.33,231.40,7.89
33,Entry Long,Entry Long,2020-06-07 19:00,238.90,12.2666,-220.06,-7.51,-2978.98,-0.23,139.59,4.76,220.06,7.51
33,Exit Long,Exit Long,2020-06-15 10:00,220.96,12.2666,-220.06,-7.51,-2978.98,-0.23,139.59,4.76,220.06,7.51
34,Entry Long,Entry Long,2020-06-07 22:00,236.82,12.3651,-196.11,-6.7,-3175.09,-0.2,166.43,5.68,196.11,6.7
34,Exit Long,Exit Long,2020-06-15 10:00,220.96,12.3651,-196.11,-6.7,-3175.09,-0.2,166.43,5.68,196.11,6.7
35,Entry Long,Entry Long,2020-06-10 19:00,242.57,12.106,-261.61,-8.91,-3436.70,-0.27,93.34,3.18,261.61,8.91
35,Exit Long,Exit Long,2020-06-15 10:00,220.96,12.106,-261.61,-8.91,-3436.70,-0.27,93.34,3.18,261.61,8.91
36,Entry Long,Entry Long,2020-06-18 04:00,231.34,12.5211,-19.03,-0.66,-3455.73,-0.02,41.44,1.43,71.62,2.47
36,Exit Long,Entry Short,2020-06-21 10:00,229.82,12.5211,-19.03,-0.66,-3455.73,-0.02,41.44,1.43,71.62,2.47
37,Entry Short,Entry Short,2020-06-21 10:00,229.82,12.6025,-222.06,-7.67,-3677.79,-0.23,174.17,6.01,244.74,8.45
37,Exit Short,Exit Short,2020-07-08 19:00,247.44,12.6025,-222.06,-7.67,-3677.79,-0.23,174.17,6.01,244.74,8.45
38,Entry Short,Entry Short,2020-06-21 13:00,230.66,12.5553,-210.68,-7.27,-3888.47,-0.22,184.06,6.36,233.28,8.06
38,Exit Short,Exit Short,2020-07-08 19:00,247.44,12.5553,-210.68,-7.27,-3888.47,-0.22,184.06,6.36,233.28,8.06
39,Entry Short,Entry Short,2020-06-22 16:00,235.62,12.2751,-145.09,-5.02,-4033.56,-0.15,240.84,8.33,167.19,5.78
39,Exit Short,Exit Short,2020-07-08 19:00,247.44,12.2751,-145.09,-5.02,-4033.56,-0.15,240.84,8.33,167.19,5.78
40,Entry Short,Entry Short,2020-06-28 22:00,226.18,12.8355,-272.88,-9.4,-4306.44,-0.28,63.15,2.18,272.88,9.4
40,Exit Short,Exit Short,2020-07-08 19:00,247.44,12.8355,-272.88,-9.4,-4306.44,-0.28,63.15,2.18,272.88,9.4
41,Entry Short,Entry Short,2020-06-29 01:00,227.04,12.7762,-260.63,-8.99,-4567.08,-0.27,73.85,2.55,260.63,8.99
41,Exit Short,Exit Short,2020-07-08 19:00,247.44,12.7762,-260.63,-8.99,-4567.08,-0.27,73.85,2.55,260.63,8.99
