Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,Entry Short,2020-03-01 19:00,224.32,13.3749,-83.59,-2.79,-83.59,-0.08,159.96,5.33,134.82,4.49
1,Exit Short,Entry Long,2020-03-03 06:00,230.57,13.3749,-83.59,-2.79,-83.59,-0.08,159.96,5.33,134.82,4.49
2,Entry Short,Entry Short,2020-03-02 06:00,219.00,13.7103,-158.63,-5.28,-242.22,-0.16,40.17,1.34,211.14,7.03
2,Exit Short,Entry Long,2020-03-03 06:00,230.57,13.7103,-158.63,-5.28,-242.22,-0.16,40.17,1.34,211.14,7.03
3,Entry Short,Entry Short,2020-03-02 06:30,219.89,13.6496,-145.78,-4.86,-388.00,-0.15,52.14,1.74,198.06,6.6
3,Exit Short,Entry Long,2020-03-03 06:00,230.57,13.6496,-145.78,-4.86,-388.00,-0.15,52.14,1.74,198.06,6.6
4,Entry Short,Entry Short,2020-03-02 16:30,222.18,13.4969,-113.24,-3.78,-501.24,-0.11,4.45,0.15,164.93,5.5
4,Exit Short,Entry Long,2020-03-03 06:00,230.57,13.4969,-113.24,-3.78,-501.24,-0.11,4.45,0.15,164.93,5.5
5,Entry Short,Entry Short,2020-03-02 17:00,222.64,13.4643,-106.77,-3.56,-608.01,-0.11,1.89,0.06,158.34,5.28
5,Exit Short,Entry Long,2020-03-03 06:00,230.57,13.4643,-106.77,-3.56,-608.01,-0.11,1.89,0.06,158.34,5.28
6,Entry Long,Entry Long,2020-03-03 06:00,230.57,12.9334,-79.80,-2.68,-687.81,-0.08,24.44,0.82,142.27,4.77
6,Exit Long,Entry Short,2020-03-04 06:00,224.40,12.9334,-79.80,-2.68,-687.81,-0.08,24.44,0.82,142.27,4.77
7,Entry Long,Entry Long,2020-03-03 14:00,226.91,13.1299,-32.96,-1.11,-720.76,-0.03,72.87,2.45,96.37,3.23
7,Exit Long,Entry Short,2020-03-04 06:00,224.40,13.1299,-32.96,-1.11,-720.76,-0.03,72.87,2.45,96.37,3.23
8,Entry Long,Entry Long,2020-03-03 21:30,226.23,13.1726,-24.11,-0.81,-744.87,-0.02,42.55,1.43,87.73,2.94
8,Exit Long,Entry Short,2020-03-04 06:00,224.40,13.1726,-24.11,-0.81,-744.87,-0.02,42.55,1.43,87.73,2.94
9,Entry Long,Entry Long,2020-03-03 22:00,224.90,13.2425,-6.62,-0.22,-751.49,-0.01,60.39,2.03,70.58,2.37
9,Exit Long,Entry Short,2020-03-04 06:00,224.40,13.2425,-6.62,-0.22,-751.49,-0.01,60.39,2.03,70.58,2.37
10,Entry Short,Entry Short,2020-03-04 06:00,224.40,13.2685,-3.45,-0.12,-754.94,0,25.08,0.84,59.04,1.98
10,Exit Short,Entry Long,2020-03-04 13:30,224.66,13.2685,-3.45,-0.12,-754.94,0,25.08,0.84,59.04,1.98
11,Entry Long,Entry Long,2020-03-04 13:30,224.66,13.2502,-53.93,-1.81,-808.87,-0.05,361.33,12.14,58.70,1.97
11,Exit Long,Exit Long,2020-03-08 21:30,220.59,13.2502,-53.93,-1.81,-808.87,-0.05,361.33,12.14,58.70,1.97
12,Entry Long,Entry Long,2020-03-05 22:00,229.08,13.0052,-110.41,-3.71,-919.28,-0.11,297.17,9.97,110.41,3.71
12,Exit Long,Exit Long,2020-03-08 21:30,220.59,13.0052,-110.41,-3.71,-919.28,-0.11,297.17,9.97,110.41,3.71
13,Entry Long,Entry Long,2020-03-06 02:30,230.91,12.9067,-133.20,-4.47,-1052.48,-0.13,271.30,9.1,133.20,4.47
13,Exit Long,Exit Long,2020-03-08 21:30,220.59,12.9067,-133.20,-4.47,-1052.48,-0.13,271.30,9.1,133.20,4.47
14,Entry Long,Entry Long,2020-03-06 06:00,228.80,13.0139,-106.84,-3.59,-1159.33,-0.11,301.01,10.11,106.84,3.59
14,Exit Long,Exit Long,2020-03-08 21:30,220.59,13.0139,-106.84,-3.59,-1159.33,-0.11,301.01,10.11,106.84,3.59
