Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
23,Exit Short,Exit Short,2020-03-19 19:00,127.52,26.0935,-259.11,-8.44,1265.03,-0.26,201.70,6.57,259.11,8.44
24,Entry Short,Entry Short,2020-03-19 05:00,116.42,26.4,-293.04,-9.53,971.99,-0.29,46.99,1.53,293.04,9.53
24,Exit Short,Exit Short,2020-03-19 19:00,127.52,26.4,-293.04,-9.53,971.99,-0.29,46.99,1.53,293.04,9.53
25,Entry Short,Entry Short,2020-03-19 20:00,128.61,23.553,-268.98,-8.88,703.01,-0.27,118.71,3.92,563.86,18.61
25,Exit Short,Entry Long,2020-03-20 21:00,140.03,23.553,-268.98,-8.88,703.01,-0.27,118.71,3.92,563.86,18.61
26,Entry Long,Entry Long,2020-03-20 21:00,140.03,21.5761,-474.24,-15.7,228.77,-0.47,106.59,3.53,474.24,15.7
26,Exit Long,Exit Long,2020-03-21 03:00,118.05,21.5761,-474.24,-15.7,228.77,-0.47,106.59,3.53,474.24,15.7
27,Entry Long,Entry Long,2020-03-21 02:00,130.70,23.0719,-291.86,-9.68,-63.09,-0.29,89.75,2.98,291.86,9.68
27,Exit Long,Exit Long,2020-03-21 03:00,118.05,23.0719,-291.86,-9.68,-63.09,-0.29,89.75,2.98,291.86,9.68
28,Entry Long,Entry Long,2020-03-21 04:00,125.36,23.9178,-74.62,-2.49,-137.71,-0.07,291.80,9.73,74.62,2.49
28,Exit Long,Exit Long,2020-03-23 03:00,122.24,23.9178,-74.62,-2.49,-137.71,-0.07,291.80,9.73,74.62,2.49
29,Entry Long,Entry Long,2020-03-21 13:00,129.66,23.1414,-171.71,-5.72,-309.42,-0.17,180.27,6.01,171.71,5.72
29,Exit Long,Exit Long,2020-03-23 03:00,122.24,23.1414,-171.71,-5.72,-309.42,-0.17,180.27,6.01,171.71,5.72
30,Entry Long,Entry Long,2020-03-22 16:00,132.57,22.6647,-234.13,-7.79,-543.55,-0.23,37.62,1.25,234.13,7.79
30,Exit Long,Exit Long,2020-03-23 03:00,122.24,22.6647,-234.13,-7.79,-543.55,-0.23,37.62,1.25,234.13,7.79
31,Entry Long,Entry Long,2020-03-22 20:00,127.88,23.4175,-132.07,-4.41,-675.62,-0.13,55.27,1.85,132.07,4.41
31,Exit Long,Exit Long,2020-03-23 03:00,122.24,23.4175,-132.07,-4.41,-675.62,-0.13,55.27,1.85,132.07,4.41
32,Entry Long,Entry Long,2020-03-23 00:00,126.53,23.6476,-101.45,-3.39,-777.07,-0.1,20.10,0.67,101.45,3.39
32,Exit Long,Exit Long,2020-03-23 03:00,122.24,23.6476,-101.45,-3.39,-777.07,-0.1,20.10,0.67,101.45,3.39
33,Entry Long,Entry Long,2020-03-24 22:00,137.40,21.6643,-172.88,-5.81,-949.95,-0.17,106.81,3.59,271.24,9.11
33,Exit Long,Entry Short,2020-03-28 16:00,129.42,21.6643,-172.88,-5.81,-949.95,-0.17,106.81,3.59,271.24,9.11
34,Entry Long,Entry Long,2020-03-24 23:00,135.99,21.8838,-143.78,-4.83,-1093.73,-0.15,138.74,4.66,243.13,8.17
34,Exit Long,Entry Short,2020-03-28 16:00,129.42,21.8838,-143.78,-4.83,-1093.73,-0.15,138.74,4.66,243.13,8.17
35,Entry Long,Entry Long,2020-03-25 00:00,135.85,21.8928,-140.77,-4.73,-1234.50,-0.14,141.87,4.77,240.16,8.08
35,Exit Long,Entry Short,2020-03-28 16:00,129.42,21.8928,-140.77,-4.73,-1234.50,-0.14,141.87,4.77,240.16,8.08
36,Entry Long,Entry Long,2020-03-25 11:00,136.11,21.8683,-146.30,-4.92,-1380.80,-0.15,136.02,4.57,245.58,8.25
36,Exit Long,Entry Short,2020-03-28 16:00,129.42,21.8683,-146.30,-4.92,-1380.80,-0.15,136.02,4.57,245.58,8.25
37,Entry Long,Entry Long,2020-03-25 19:00,134.38,22.1146,-109.69,-3.69,-1490.49,-0.11,152.37,5.13,210.09,7.07
37,Exit Long,Entry Short,2020-03-28 16:00,129.42,22.1146,-109.69,-3.69,-1490.49,-0.11,152.37,5.13,210.09,7.07
38,Entry Short,Entry Short,2020-03-28 16:00,129.42,22.8333,-353.46,-11.96,-1843.95,-0.36,128.09,4.33,353.46,11.96
38,Exit Short,Exit Short,2020-04-03 00:00,144.90,22.8333,-353.46,-11.96,-1843.95,-0.36,128.09,4.33,353.46,11.96
39,Entry Short,Entry Short,2020-03-29 06:00,131.02,22.5493,-312.98,-10.59,-2156.93,-0.32,162.58,5.5,312.98,10.59
39,Exit Short,Exit Short,2020-04-03 00:00,144.90,22.5493,-312.98,-10.59,-2156.93,-0.32,162.58,5.5,312.98,10.59
40,Entry Short,Entry Short,2020-03-30 11:00,126.93,23.3199,-419.06,-14.16,-2575.99,-0.43,9.09,0.31,419.06,14.16
40,Exit Short,Exit Short,2020-04-03 00:00,144.90,23.3199,-419.06,-14.16,-2575.99,-0.43,9.09,0.31,419.06,14.16
41,Entry Short,Entry Short,2020-03-30 12:00,127.44,23.2164,-405.36,-13.7,-2981.35,-0.42,0,0,405.36,13.7
41,Exit Short,Exit Short,2020-04-03 00:00,144.90,23.2164,-405.36,-13.7,-2981.35,-0.42,0,0,405.36,13.7
42,Entry Short,Entry Short,2020-03-30 13:00,129.75,22.754,-344.72,-11.68,-3326.07,-0.36,25.71,0.87,344.72,11.68
42,Exit Short,Exit Short,2020-04-03 00:00,144.90,22.754,-344.72,-11.68,-3326.07,-0.36,25.71,0.87,344.72,11.68
43,Entry Long,Entry Long,2020-04-03 22:00,141.79,20.4586,243.05,8.38,-3083.02,0.25,704.39,24.28,92.68,3.19
43,Exit Long,Exit Long,2020-04-10 22:00,153.67,20.4586,243.05,8.38,-3083.02,0.25,704.39,24.28,92.68,3.19
44,Entry Long,Entry Long,2020-04-03 23:00,141.37,20.5104,252.28,8.7,-2830.75,0.26,714.79,24.65,84.30,2.91
44,Exit Long,Exit Long,2020-04-10 22:00,153.67,20.5104,252.28,8.7,-2830.75,0.26,714.79,24.65,84.30,2.91
45,Entry Long,Entry Long,2020-04-04 00:00,141.00,20.5638,260.54,8.99,-2570.20,0.27,724.26,24.98,43.60,1.5
45,Exit Long,Exit Long,2020-04-10 22:00,153.67,20.5638,260.54,8.99,-2570.20,0.27,724.26,24.98,43.60,1.5
