Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,Entry Short,2020-03-02 13:00,221.40,13.5489,-318.53,-10.62,-318.53,-0.32,24.79,0.83,318.53,10.62
1,Exit Short,Exit Short,2020-03-07 05:00,244.91,13.5489,-318.53,-10.62,-318.53,-0.32,24.79,0.83,318.53,10.62
2,Entry Short,Entry Short,2020-03-02 19:00,224.70,13.3451,-269.70,-8.99,-588.24,-0.27,68.46,2.28,269.70,8.99
2,Exit Short,Exit Short,2020-03-07 05:00,244.91,13.3451,-269.70,-8.99,-588.24,-0.27,68.46,2.28,269.70,8.99
3,Entry Short,Entry Short,2020-03-02 21:00,227.27,13.1857,-232.60,-7.76,-820.83,-0.23,101.53,3.39,232.60,7.76
3,Exit Short,Exit Short,2020-03-07 05:00,244.91,13.1857,-232.60,-7.76,-820.83,-0.23,101.53,3.39,232.60,7.76
4,Entry Short,Entry Short,2020-03-02 23:00,228.34,13.1164,-217.34,-7.26,-1038.17,-0.22,115.03,3.84,217.34,7.26
4,Exit Short,Exit Short,2020-03-07 05:00,244.91,13.1164,-217.34,-7.26,-1038.17,-0.22,115.03,3.84,217.34,7.26
5,Entry Short,Entry Short,2020-03-03 01:00,231.50,12.9168,-173.21,-5.79,-1211.39,-0.18,154.10,5.15,173.21,5.79
5,Exit Short,Exit Short,2020-03-07 05:00,244.91,12.9168,-173.21,-5.79,-1211.39,-0.18,154.10,5.15,173.21,5.79
6,Entry Short,Entry Short,2020-03-14 07:00,134.06,22.1069,144.58,4.88,-1066.81,0.15,728.64,24.59,13.71,0.46
6,Exit Short,Exit Short,2020-03-19 19:00,127.52,22.1069,144.58,4.88,-1066.81,0.15,728.64,24.59,13.71,0.46
7,Entry Short,Entry Short,2020-03-16 05:00,132.91,22.3022,120.21,4.06,-946.60,0.12,709.43,23.93,11.82,0.4
7,Exit Short,Exit Short,2020-03-19 19:00,127.52,22.3022,120.21,4.06,-946.60,0.12,709.43,23.93,11.82,0.4
8,Entry Short,Additional Short,2020-03-16 13:00,116.66,23,-249.78,-9.31,-1196.38,-0.25,357.88,13.34,249.78,9.31
8,Exit Short,Exit Short,2020-03-19 19:00,127.52,23,-249.78,-9.31,-1196.38,-0.25,357.88,13.34,249.78,9.31
9,Entry Short,Additional Short,2020-03-16 15:00,107.02,34,-697.00,-19.16,-1893.38,-0.71,201.28,5.53,697.00,19.16
9,Exit Short,Exit Short,2020-03-19 19:00,127.52,34,-697.00,-19.16,-1893.38,-0.71,201.28,5.53,697.00,19.16
10,Entry Short,Additional Short,2020-03-16 17:00,108.14,51,-988.38,-17.92,-2881.76,-1.01,359.04,6.51,988.38,17.92
10,Exit Short,Exit Short,2020-03-19 19:00,127.52,51,-988.38,-17.92,-2881.76,-1.01,359.04,6.51,988.38,17.92
11,Entry Short,Entry Short,2020-03-19 21:00,126.50,23.0374,-197.43,-6.77,-3079.19,-0.2,224.85,7.72,600.12,20.59
