Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,Entry Long,2021-12-07 04:00,4199.52,0.7143,85.54,2.85,85.54,0.09,161.06,5.37,0.74,0.02
1,Exit Long,Entry Short,2021-12-08 04:20,4319.27,0.7143,85.54,2.85,85.54,0.09,161.06,5.37,0.74,0.02
2,Entry Long,Entry Long,2021-12-07 08:40,4321.25,0.6948,-1.38,-0.05,84.16,0,72.09,2.4,44.35,1.48
2,Exit Long,Entry Short,2021-12-08 04:20,4319.27,0.6948,-1.38,-0.05,84.16,0,72.09,2.4,44.35,1.48
3,Entry Long,Entry Long,2021-12-07 09:40,4319.52,0.695,-0.17,-0.01,83.99,0,73.31,2.44,43.16,1.44
3,Exit Long,Entry Short,2021-12-08 04:20,4319.27,0.695,-0.17,-0.01,83.99,0,73.31,2.44,43.16,1.44
4,Entry Long,Entry Long,2021-12-07 09:45,4309.49,0.6965,6.81,0.23,90.80,0.01,80.45,2.68,36.27,1.21
4,Exit Long,Entry Short,2021-12-08 04:20,4319.27,0.6965,6.81,0.23,90.80,0.01,80.45,2.68,36.27,1.21
5,Entry Long,Entry Long,2021-12-07 12:25,4343.24,0.6918,-16.58,-0.55,74.22,-0.02,56.56,1.88,59.37,1.98
5,Exit Long,Entry Short,2021-12-08 04:20,4319.27,0.6918,-16.58,-0.55,74.22,-0.02,56.56,1.88,59.37,1.98
6,Entry Short,Entry Short,2021-12-08 04:20,4319.27,0.695,-2.93,-0.1,71.28,0,44.03,1.47,19.72,0.66
6,Exit Short,Entry Long,2021-12-08 13:05,4323.49,0.695,-2.93,-0.1,71.28,0,44.03,1.47,19.72,0.66
7,Entry Short,Entry Short,2021-12-08 05:40,4302.20,0.6978,-14.86,-0.49,56.43,-0.01,32.29,1.08,31.71,1.06
7,Exit Short,Entry Long,2021-12-08 13:05,4323.49,0.6978,-14.86,-0.49,56.43,-0.01,32.29,1.08,31.71,1.06
8,Entry Short,Entry Short,2021-12-08 06:15,4287.00,0.7005,-25.56,-0.85,30.87,-0.03,8.36,0.28,42.48,1.41
8,Exit Short,Entry Long,2021-12-08 13:05,4323.49,0.7005,-25.56,-0.85,30.87,-0.03,8.36,0.28,42.48,1.41
9,Entry Short,Entry Short,2021-12-08 06:20,4299.18,0.6983,-16.98,-0.57,13.89,-0.02,16.84,0.56,33.84,1.13
9,Exit Short,Entry Long,2021-12-08 13:05,4323.49,0.6983,-16.98,-0.57,13.89,-0.02,16.84,0.56,33.84,1.13
10,Entry Short,Entry Short,2021-12-08 06:25,4301.97,0.6978,-15.02,-0.5,-1.13,-0.02,18.78,0.63,31.87,1.06
10,Exit Short,Entry Long,2021-12-08 13:05,4323.49,0.6978,-15.02,-0.5,-1.13,-0.02,18.78,0.63,31.87,1.06
11,Entry Long,Entry Long,2021-12-08 13:05,4323.49,0.6938,-31.70,-1.06,-32.83,-0.03,46.14,1.54,66.23,2.21
11,Exit Long,Entry Short,2021-12-08 19:05,4277.80,0.6938,-31.70,-1.06,-32.83,-0.03,46.14,1.54,66.23,2.21
12,Entry Long,Entry Long,2021-12-08 14:25,4348.95,0.6899,-49.09,-1.64,-81.91,-0.05,28.32,0.94,83.42,2.78
