Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,Entry Long,2021-07-03 10:15,2127.70,1.4099,142.34,4.75,142.34,0.14,369.72,12.32,22.12,0.74
1,Exit Long,Entry Short,2021-07-05 20:45,2228.66,1.4099,142.34,4.75,142.34,0.14,369.72,12.32,22.12,0.74
2,Entry Long,Entry Long,2021-07-03 10:45,2123.07,1.4129,149.19,4.97,291.53,0.15,377.05,12.57,15.63,0.52
2,Exit Long,Entry Short,2021-07-05 20:45,2228.66,1.4129,149.19,4.97,291.53,0.15,377.05,12.57,15.63,0.52
3,Entry Long,Entry Long,2021-07-03 18:30,2206.86,1.3624,29.70,0.99,321.23,0.03,249.41,8.3,43.41,1.44
3,Exit Long,Entry Short,2021-07-05 20:45,2228.66,1.3624,29.70,0.99,321.23,0.03,249.41,8.3,43.41,1.44
4,Entry Long,Entry Long,2021-07-03 18:45,2203.00,1.3645,35.01,1.16,356.25,0.03,255.07,8.49,38.21,1.27
4,Exit Long,Entry Short,2021-07-05 20:45,2228.66,1.3645,35.01,1.16,356.25,0.03,255.07,8.49,38.21,1.27
5,Entry Long,Entry Long,2021-07-03 23:15,2216.06,1.3576,17.11,0.57,373.35,0.02,236.05,7.85,55.74,1.85
5,Exit Long,Entry Short,2021-07-05 20:45,2228.66,1.3576,17.11,0.57,373.35,0.02,236.05,7.85,55.74,1.85
6,Entry Short,Entry Short,2021-07-05 20:45,2228.66,1.3511,-92.60,-3.08,280.75,-0.09,96.39,3.2,163.94,5.44
6,Exit Short,Entry Long,2021-07-06 16:15,2297.20,1.3511,-92.60,-3.08,280.75,-0.09,96.39,3.2,163.94,5.44
7,Entry Short,Entry Short,2021-07-06 02:45,2249.97,1.3379,-63.19,-2.1,217.56,-0.06,76.22,2.53,133.83,4.45
7,Exit Short,Entry Long,2021-07-06 16:15,2297.20,1.3379,-63.19,-2.1,217.56,-0.06,76.22,2.53,133.83,4.45
8,Entry Short,Entry Short,2021-07-06 05:00,2243.63,1.3419,-71.89,-2.39,145.67,-0.07,67.94,2.26,142.74,4.74
8,Exit Short,Entry Long,2021-07-06 16:15,2297.20,1.3419,-71.89,-2.39,145.67,-0.07,67.94,2.26,142.74,4.74
9,Entry Short,Entry Short,2021-07-06 10:00,2234.97,1.3476,-83.86,-2.78,61.81,-0.08,12.67,0.42,155.01,5.15
9,Exit Short,Entry Long,2021-07-06 16:15,2297.20,1.3476,-83.86,-2.78,61.81,-0.08,12.67,0.42,155.01,5.15
10,Entry Long,Entry Long,2021-07-06 16:15,2297.20,1.3067,-206.31,-6.87,-144.50,-0.21,146.09,4.87,206.31,6.87
10,Exit Long,Exit Long,2021-07-08 18:00,2139.31,1.3067,-206.31,-6.87,-144.50,-0.21,146.09,4.87,206.31,6.87
11,Entry Long,Entry Long,2021-07-06 21:15,2295.51,1.3076,-204.25,-6.8,-348.75,-0.2,148.40,4.94,204.25,6.8
11,Exit Long,Exit Long,2021-07-08 18:00,2139.31,1.3076,-204.25,-6.8,-348.75,-0.2,148.40,4.94,204.25,6.8
12,Entry Long,Entry Long,2021-07-06 21:30,2294.32,1.3083,-202.80,-6.76,-551.55,-0.2,150.04,5,202.80,6.76
12,Exit Long,Exit Long,2021-07-08 18:00,2139.31,1.3083,-202.80,-6.76,-551.55,-0.2,150.04,5,202.80,6.76
13,Entry Long,Entry Long,2021-07-06 23:45,2289.46,1.3108,-196.82,-6.56,-748.37,-0.2,156.69,5.22,196.82,6.56
13,Exit Long,Exit Long,2021-07-08 18:00,2139.31,1.3108,-196.82,-6.56,-748.37,-0.2,156.69,5.22,196.82,6.56
